Ion       |        Air wav (Å) |Unc. (Å)| Ritz Wav Air (Å)   |Unc. (Å)|  Amp  | Aki (s^-1) | Acc. | Lower level | Upper level |Type| TP               | Line             
Ar I      |        12733.418   |        |        12733.418   |        |    30 | 1.1e+06    | D    | 2           | 2           |    |           T1618n |             L2634
Ar I      |        12746.232   |        |        12746.232   |        |    12 | 2.0e+06    | D    | 1           | 1           |    |           T1618n |             L2634
Kr I      |        12782.52    |        |        12782.39+   |        |  100  |            |      | 3           | 4           |    |                  |              L125
Kr I      |        12782.52    |        |        12782.39+   |        |  100  |            |      | 3           | 3           |    |                  |              L125
Ar I      |        12802.739   |        |        12802.737   |        |   200 | 5.7e+06    | D    | 2           | 2           |    |           T1618n |             L2634
Kr I      |        12825.08    |        |        12825.927+  |        |    5  |            |      | 3           | 3           |    |                  |             L7384
Kr I      |        12825.08    |        |        12824.670+  |        |    5  |            |      | 3           | 2           |    |                  |             L7384
Kr I      |        12861.89    |        |        12861.8954+ |        |    46 | 7.6e+04    | B+   | 0           | 1           |    |            T7199 |              L125
Kr I      |        12876.168   |        |        12876.160+  |        |     3 |            |      | 1           | 0           |    |                  |             L9760
Kr I      |        12878.74    |        |        12878.86+   |        |   470 |            |      | 3           | 4           |    |                  |              L125
Kr I      |        12914.6     |        |        12913.8+    |        |     3 |            |      | 1           | 0           |    |                  |             L4085
Ar I      |        12933.195   |        |        12933.196   |        |    50 | 1.0e+07    | D    | 1           | 0           |    |           T1618n |             L2634
Kr I      |        12934.48    |        |        12934.266+  |        |     1 |            |      | 1           | 1           |    |                  |             L7384
Ar I      |        12956.659   |        |        12956.658   |        |   500 | 7.4e+06    | D    | 1           | 1           |    |           T1618n |             L2634
Kr I      |        12977.98    |        |        12977.954+  |        |     2 |            |      | 2           | 1           |    |                  |             L7384
Kr I      |        12985.32    |        |        12985.293+  |        |    14 |            |      | 1           | 2           |    |                  |              L125
Ar I      |        13008.264   |        |        13008.264   |        |   200 | 8.9e+06    | D    | 2           | 1           |    |           T1618n |             L2634
Kr I      |        13022.41    |        |        13023.3+    |        |    13 |            |      | 3           | 4           |    |                  |              L125
Kr I      |        13120.117   |        |        13120.105+  |        |     3 |            |      | 2           | 2           |    |                  |             L9760
Kr I      |        13177.4110  |        |        13177.4098+ |        |   310 | 4.90e+06   | B    | 2           | 1           |    |            T5651 |           L4205c2
Kr I      |        13190.119   |        |        13190.106+  |        |     3 |            |      | 1           | 2           |    |                  |             L9760
Hg I      |        13209.95    |  0.2   |        13210.19    |  0.03  |   400 | 6.e+06     | D    | 0           | 1           |    |            T3462 |             L3502
Kr I      |        13210.67    |        |        13210.645+  |        |     6 |            |      | 1           | 2           |    |                  |              L125
Ar I      |        13213.99    |        |        13213.991   |        |   200 | 8.1e+06    | D    | 1           | 0           |    |           T1618n |             L2634
Ar I      |        13228.107   |        |                    |        |   200 |            |      |             |             |    |                  |             L2634
Ar I      |        13230.90    |        |        13230.897   |        |   100 | 4.6e+06    | D    | 1           | 1           |    |            T1372 |             L2634
Kr I      |        13240.69    |        |        13240.68+   |        |    26 | 3.18e+06   | C+   | 1           | 1           |    |            T5651 |              L125
Ar I      |        13272.64    |        |        13272.635   |        |   500 | 1.5e+07    | D    | 2           | 3           |    |           T1618n |             L2634
Kr I      |        13304.30    |        |        13304.34+   |        |     5 |            |      | 2           | 3           |    |                  |             L7384
Kr I      |        13305.033   |        |        13305.00+   |        |     2 |            |      | 2           | 2           |    |                  |             L9760
Ar I      |        13313.210   |        |        13313.209   |        |  1000 | 1.3e+07    | D    | 1           | 2           |    |           T1618n |             L2634
Kr I      |        13337.88    |        |        13337.81+   |        |    18 | 8.29e+06   | C+   | 1           | 0           |    |            T5651 |              L125
Ar I      |        13367.111   |        |                    |        |  1000 |            |      |             |             |    |                  |             L2634
Hg I      |        13426.57    |  0.2   |        13426.35    |  0.03  |   400 | 5.e+06     | D    | 1           | 2           |    |            T3462 |             L3502
Hg I      |        13468.38    |  0.2   |        13468.65    |  0.05  |   130 | 3.2e+06    | E    | 1           | 1           |    |            T3462 |             L3502
Ar I      |        13499.41    |        |        13499.406   |        |    30 | 2.7e+06    | D    | 2           | 1           |    |            T1372 |             L2634
Ar I      |        13504.191   |        |        13504.189   |        |  1000 | 1.1e+07    | D    | 2           | 3           |    |           T1618n |             L2634
Hg I      |        13505.58    |  0.2   |        13505.86    |  0.03  |   200 | 3.0e+06    | D    | 1           | 2           |    |            T3462 |             L3502
Xe I      |        13543.16    |  0.1   |        13544.15+   |        |     5 | 1.15e+06   | B    | 3           | 2           |    |     T8608n,T6672 |             L7384
Hg I      |        13570.21    |  0.2   |        13570.81    |  0.04  |   200 | 6.e+07     | D    | 0           | 1           |    |            T3462 |             L3502
Ar I      |        13573.617   |        |        13573.618   |        |    11 | 5.1e+06    | D    | 1           | 0           |    |            T1372 |             L2634
Ar I      |        13599.333   |        |        13599.333   |        |    30 | 2.2e+06    | D    | 2           | 2           |    |           T1618n |             L2634
Kr I      |        13622.4164  |        |        13622.419+  |        |   130 | 4.97e+06   | C+   | 2           | 1           |    |            T5651 |           L4205c2
Ar I      |        13622.659   |        |        13622.659   |        |   400 | 7.3e+06    | D    | 1           | 2           |    |           T1618n |             L2634
Kr I      |        13634.2206  |        |        13634.221+  |        |   250 | 1.03e+07   | B    | 3           | 2           |    |            T5651 |           L4205c2
Xe I      |        13656.48    |  0.1   |        13657.06+   |        |   150 | 6.80e+06   | B+   | 2           | 1           |    |            T5818 |             L7384
Kr I      |        13658.39    |        |        13658.394+  |        |    37 | 1.43e+06   | B    | 2           | 2           |    |            T5651 |              L125
Hg I      |        13673.51    |  0.2   |        13673.39    |  0.03  |   300 | 4.2e+07    | D    | 1           | 1           |    |            T3462 |             L3502
Ar I      |        13678.550   |        |        13678.549   |        |   200 | 6.2e+06    | D    | 1           | 2           |    |           T1618n |             L2634
Kr I      |        13711.02    |        |        13711.039+  |        |    26 |            |      | 1           | 1           |    |                  |              L125
Ar I      |        13718.577   |        |                    |        |  1000 |            |      |             |             |    |                  |             L2634
Kr I      |        13738.8555  |        |        13738.857+  |        |    51 | 3.10e+05   | B+   | 1           | 2           |    |            T7199 |           L4205c2
