| ion |      wave | NIST | Instr | amplitude |       Source |
| HgI | 11071.487 |    1 |   477 |   37420.0 | Hg_lines.dat |
| HgI | 11081.903 |    1 |   478 |   58580.0 | Hg_lines.dat |
| ArI | 11081.903 |    1 |   330 |   58580.0 | Ar_lines.dat |
| KrI | 11082.230 |    1 |   188 |   46660.0 | Kr_lines.dat |
| ArI | 11086.652 |    1 |   331 |   45970.0 | Ar_lines.dat |
| HgI | 11086.652 |    1 |   479 |   45970.0 | Hg_lines.dat |
| XeI | 11088.273 |    1 |   188 |   32140.0 | Xe_lines.dat |
| ArI | 11090.724 |    1 |   332 |   29520.0 | Ar_lines.dat |
| HgI | 11090.724 |    1 |   480 |   29520.0 | Hg_lines.dat |
| ArI | 11109.500 |    1 |   333 |   54410.0 | Ar_lines.dat |
| HgI | 11109.500 |    1 |   481 |   54410.0 | Hg_lines.dat |
| XeI | 11119.730 |    1 |   189 |   22760.0 | Xe_lines.dat |
| XeI | 11130.236 |    1 |   190 |   21360.0 | Xe_lines.dat |
| XeI | 11133.860 |    1 |   191 |   20400.0 | Xe_lines.dat |
| XeI | 11144.196 |    1 |   192 |   20390.0 | Xe_lines.dat |
| HgI | 11148.769 |    1 |   482 |   29960.0 | Hg_lines.dat |
| ArI | 11148.769 |    1 |   334 |   29960.0 | Ar_lines.dat |
| XeI | 11165.730 |    1 |   193 |   11320.0 | Xe_lines.dat |
| HgI | 11176.339 |    1 |   483 |   22330.0 | Hg_lines.dat |
| ArI | 11176.339 |    1 |   335 |   22330.0 | Ar_lines.dat |
| XeI | 11178.560 |    1 |   194 |   12760.0 | Xe_lines.dat |
| HgI | 11179.880 |    1 |   484 |    3316.0 | Hg_lines.dat |
| HgI | 11184.646 |    1 |   485 |   24250.0 | Hg_lines.dat |
| ArI | 11184.646 |    1 |   336 |   24250.0 | Ar_lines.dat |
| KrI | 11190.170 |    1 |   189 |   18950.0 | Kr_lines.dat |
| ArI | 11212.780 |    1 |   337 |   21220.0 | Ar_lines.dat |
| HgI | 11212.780 |    1 |   486 |   21220.0 | Hg_lines.dat |
| ArI | 11214.375 |    1 |   338 |   25230.0 | Ar_lines.dat |
| HgI | 11214.375 |    1 |   487 |   25230.0 | Hg_lines.dat |
| KrI | 11217.650 |    1 |   190 |   21080.0 | Kr_lines.dat |
| HgI | 11217.907 |    1 |   488 |   22780.0 | Hg_lines.dat |
| ArI | 11217.907 |    1 |   339 |   22780.0 | Ar_lines.dat |
| XeI | 11217.960 |    1 |   195 |    8906.0 | Xe_lines.dat |
| HgI | 11220.371 |    1 |   489 |   21620.0 | Hg_lines.dat |
| ArI | 11220.371 |    1 |   340 |   21620.0 | Ar_lines.dat |
| ArI | 11256.588 |    1 |   341 |   31320.0 | Ar_lines.dat |
| HgI | 11256.588 |    1 |   490 |   31320.0 | Hg_lines.dat |
| KrI | 11260.787 |    1 |   191 |   34580.0 | Kr_lines.dat |
| KrI | 11262.240 |    1 |   192 |   33710.0 | Kr_lines.dat |
| KrI | 11265.790 |    1 |   193 |   33980.0 | Kr_lines.dat |
| KrI | 11289.672 |    1 |   194 |   33470.0 | Kr_lines.dat |
| HgI | 11290.200 |    1 |   491 |  771800.0 | Hg_lines.dat |
| XeI | 11292.190 |    1 |   196 |   18540.0 | Xe_lines.dat |
| KrI | 11306.900 |    1 |   195 |   36460.0 | Kr_lines.dat |
| XeI | 11312.660 |    1 |   197 |   19230.0 | Xe_lines.dat |
| ArI | 11314.514 |    1 |   342 |   32060.0 | Ar_lines.dat |
| HgI | 11314.514 |    1 |   492 |   32060.0 | Hg_lines.dat |
| KrI | 11319.200 |    1 |   196 |   16870.0 | Kr_lines.dat |
| ArI | 11328.467 |    1 |   343 |   24520.0 | Ar_lines.dat |
| HgI | 11328.467 |    1 |   493 |   24520.0 | Hg_lines.dat |
| KrI | 11331.610 |    1 |   197 |   27000.0 | Kr_lines.dat |
| KrI | 11336.540 |    1 |   198 |   32280.0 | Kr_lines.dat |
| ArI | 11339.667 |    1 |   344 |   40010.0 | Ar_lines.dat |
| HgI | 11339.667 |    1 |   494 |   40010.0 | Hg_lines.dat |
| ArI | 11352.472 |    1 |   345 |   34550.0 | Ar_lines.dat |
| HgI | 11352.472 |    1 |   495 |   34550.0 | Hg_lines.dat |
| ArI | 11364.182 |    1 |   346 |   37380.0 | Ar_lines.dat |
| HgI | 11364.182 |    1 |   497 |   37380.0 | Hg_lines.dat |
| XeI | 11418.170 |    1 |   198 |   20980.0 | Xe_lines.dat |
| KrI | 11427.960 |    1 |   199 |   42900.0 | Kr_lines.dat |
| HgI | 11444.965 |    1 |   500 |   40320.0 | Hg_lines.dat |
| ArI | 11444.965 |    1 |   347 |   40320.0 | Ar_lines.dat |
| KrI | 11460.614 |    1 |   200 |  101200.0 | Kr_lines.dat |
| HgI | 11467.098 |    1 |   501 |   77990.0 | Hg_lines.dat |
| ArI | 11467.098 |    1 |   348 |   77990.0 | Ar_lines.dat |
| HgI | 11473.427 |    1 |   502 |   72450.0 | Hg_lines.dat |
| ArI | 11473.427 |    1 |   349 |   72450.0 | Ar_lines.dat |
| ArI | 11491.254 |    1 |   350 |   86900.0 | Ar_lines.dat |
| HgI | 11491.254 |    1 |   503 |   86900.0 | Hg_lines.dat |
